Source,Target
Radek Stepanek,Stanislas Wawrinka
Yoshihito Nishioka,Tatsuma Ito
Matthew Ebden,Austin Krajicek
Feliciano Lopez,Joao Sousa
Mikhail Youzhny,Gilles Simon
Yasutaka Uchiyama,Jiri Vesely
Samuel Groth,Jeremy Chardy
Kevin Anderson,Gilles Muller
Grigor Dimitrov,Benoit Paire
Fernando Verdasco,Marcos Baghdatis
Albert Ramos,Nick Kyrgios
Richard Gasquet,Roberto Bautista Agut
Donald Young,Marin Cilic
Bernard Tomic,Steve Johnson
Alexandr Dolgopolov,Sam Querrey
Borna Coric,Kei Nishikori
Tatsuma Ito,Stanislas Wawrinka
Joao Sousa,Austin Krajicek
Jiri Vesely,Gilles Simon
Jeremy Chardy,Gilles Muller
Marcos Baghdatis,Benoit Paire
Roberto Bautista Agut,Nick Kyrgios
Steve Johnson,Marin Cilic
Sam Querrey,Kei Nishikori
Austin Krajicek,Stanislas Wawrinka
Gilles Simon,Gilles Muller
Nick Kyrgios,Benoit Paire
Marin Cilic,Kei Nishikori
Gilles Muller,Stanislas Wawrinka
Kei Nishikori,Benoit Paire
Benoit Paire,Stanislas Wawrinka
Mikael Ymer,Alexander Zverev
Jarkko Nieminen,Nicolas Almagro
Filip Krajinovic,Grigor Dimitrov
Sam Querrey,Marcos Baghdatis
Benjamin Becker,John Millman
Mischa Zverev,Gilles Muller
Pablo Carreno Busta,Jack Sock
Denis Kudla,Fernando Verdasco
Maximilian Marterer,Leonardo Mayer
Thanasi Kokkinakis,Jeremy Chardy
Ante Pavic,Federico Delbonis
Adrian Mannarino,Steve Darcis
Alexander Zverev,Tomas Berdych
Nicolas Almagro,Grigor Dimitrov
Bernard Tomic,Marcos Baghdatis
John Millman,Gilles Muller
Fernando Verdasco,Jack Sock
Leonardo Mayer,Gilles Simon
Federico Delbonis,Jeremy Chardy
Steve Darcis,Richard Gasquet
Grigor Dimitrov,Tomas Berdych
Gilles Muller,Marcos Baghdatis
Gilles Simon,Jack Sock
Jeremy Chardy,Richard Gasquet
Marcos Baghdatis,Tomas Berdych
Richard Gasquet,Jack Sock
Jack Sock,Tomas Berdych
Mikhail Youzhny,Bastian Trinker
Matteo Trevisan,Paolo Lorenzi
Santiago Giraldo,Philipp Kohlschreiber
Laslo Djere,Dusan Lajovic
Thomas Fabbiano,Andreas Haider Maurer
Pablo Carreno Busta,Martin Klizan
Jiri Vesely,Fabio Fognini
Lukas Rosol,Damir Dzumhur
Toni Androic,Joao Sousa
Marcel Granollers,Borna Coric
Mate Delic,Aljaz Bedene
Andrey Rublev,Blaz Kavcic
Bastian Trinker,Gael Monfils
Paolo Lorenzi,Philipp Kohlschreiber
Dusan Lajovic,Dominic Thiem
Martin Klizan,Andreas Haider Maurer
Damir Dzumhur,Fabio Fognini
Andreas Seppi,Joao Sousa
Aljaz Bedene,Borna Coric
Blaz Kavcic,Roberto Bautista Agut
Philipp Kohlschreiber,Gael Monfils
Andreas Haider Maurer,Dominic Thiem
Fabio Fognini,Joao Sousa
Borna Coric,Roberto Bautista Agut
Gael Monfils,Dominic Thiem
Roberto Bautista Agut,Joao Sousa
Joao Sousa,Dominic Thiem
Gilles Muller,Benoit Paire
Jo Wilfried Tsonga,Fernando Verdasco
Yen Hsun Lu,David Goffin
Gilles Simon,Ivo Karlovic
Dominic Thiem,Martin Klizan
Alexander Zverev,Borna Coric
Sergiy Stakhovsky,Bernard Tomic
Nicolas Mahut,Jared Donaldson
Gael Monfils,Jerzy Janowicz
John Isner,Sam Querrey
Pablo Andujar,Tommy Robredo
Jiri Vesely,Thomaz Bellucci
Philipp Kohlschreiber,Joao Sousa
Fabio Fognini,Thanasi Kokkinakis
Nick Kyrgios,Richard Gasquet
Lukas Rosol,Grigor Dimitrov
Denis Kudla,Vasek Pospisil
Viktor Troicki,Mardy Fish
Rajeev Ram,Jeremy Chardy
Adrian Mannarino,Andreas Seppi
Milos Raonic,Feliciano Lopez
Leonardo Mayer,Kevin Anderson
Bjorn Fratangelo,Jack Sock
Pablo Cuevas,Roberto Bautista Agut
Benoit Paire,Novak Djokovic
Fernando Verdasco,David Goffin
Martin Klizan,Ivo Karlovic
Borna Coric,Stanislas Wawrinka
Bernard Tomic,Alexandr Dolgopolov
Jared Donaldson,Jerzy Janowicz
Sam Querrey,Tommy Robredo
Thomaz Bellucci,Tomas Berdych
Joao Sousa,Marin Cilic
Thanasi Kokkinakis,Richard Gasquet
Vasek Pospisil,Grigor Dimitrov
Mardy Fish,Andy Murray
Jeremy Chardy,Rafael Nadal
Andreas Seppi,Feliciano Lopez
Jack Sock,Kevin Anderson
Roberto Bautista Agut,Roger Federer
David Goffin,Novak Djokovic
Ivo Karlovic,Stanislas Wawrinka
Jerzy Janowicz,Alexandr Dolgopolov
Tommy Robredo,Tomas Berdych
Marin Cilic,Richard Gasquet
Grigor Dimitrov,Andy Murray
Rafael Nadal,Feliciano Lopez
Kevin Anderson,Roger Federer
Stanislas Wawrinka,Novak Djokovic
Tomas Berdych,Alexandr Dolgopolov
Richard Gasquet,Andy Murray
Feliciano Lopez,Roger Federer
Alexandr Dolgopolov,Novak Djokovic
Andy Murray,Roger Federer
Novak Djokovic,Roger Federer
Ze Zhang,Martin Klizan
Yen Hsun Lu,Dominic Thiem
Andrey Kuznetsov,Feliciano Lopez
Gilles Muller,Richard Gasquet
Simone Bolelli,Vasek Pospisil
Fernando Verdasco,Bernard Tomic
Andreas Seppi,Steve Johnson
Go Soeda,David Goffin
Adrian Mannarino,John Isner
Nikoloz Basilashvili,Gilles Simon
Yan Bai,Leonardo Mayer
Lukasz Kubot,Jack Sock
Jeremy Chardy,Ivo Karlovic
Guillermo Garcia Lopez,Roberto Bautista Agut
Thomaz Bellucci,Milos Raonic
Di Wu,Marin Cilic
Alexandr Dolgopolov,Borna Coric
Pablo Cuevas,Viktor Troicki
Andreas Haider Maurer,Nick Kyrgios
Joao Sousa,Fabio Fognini
Tommy Haas,Kevin Anderson
Tommy Robredo,Jo Wilfried Tsonga
Donald Young,Victor Estrella
Sam Querrey,Albert Ramos
Martin Klizan,Novak Djokovic
Dominic Thiem,Feliciano Lopez
Vasek Pospisil,Richard Gasquet
David Ferrer,Bernard Tomic
Steve Johnson,Andy Murray
David Goffin,John Isner
Leonardo Mayer,Gilles Simon
Jack Sock,Tomas Berdych
Ivo Karlovic,Rafael Nadal
Roberto Bautista Agut,Milos Raonic
Borna Coric,Marin Cilic
Viktor Troicki,Stanislas Wawrinka
Nick Kyrgios,Kei Nishikori
Fabio Fognini,Kevin Anderson
Victor Estrella,Jo Wilfried Tsonga
Roger Federer,Albert Ramos
Feliciano Lopez,Novak Djokovic
Richard Gasquet,Bernard Tomic
John Isner,Andy Murray
Gilles Simon,Tomas Berdych
Milos Raonic,Rafael Nadal
Marin Cilic,Stanislas Wawrinka
Kei Nishikori,Kevin Anderson
Albert Ramos,Jo Wilfried Tsonga
Bernard Tomic,Novak Djokovic
Tomas Berdych,Andy Murray
Stanislas Wawrinka,Rafael Nadal
Kevin Anderson,Jo Wilfried Tsonga
Andy Murray,Novak Djokovic
Rafael Nadal,Jo Wilfried Tsonga
Jo Wilfried Tsonga,Novak Djokovic
Teymuraz Gabashvili,Thomaz Bellucci
Gael Monfils,Benoit Paire
Pierre Hugues Herbert,Roberto Bautista Agut
Ivo Karlovic,Edouard Roger Vasselin
Fabio Fognini,Bernard Tomic
Jack Sock,Viktor Troicki
Adrian Mannarino,Dominic Thiem
Guillermo Garcia Lopez,Lukas Rosol
Jiri Vesely,Alexandr Dolgopolov
Pablo Carreno Busta,Grigor Dimitrov
Marcel Granollers,Aljaz Bedene
Pablo Cuevas,Andreas Seppi
Lucas Pouille,Jeremy Chardy
Martin Klizan,Leonardo Mayer
Nicolas Mahut,Dusan Lajovic
Fernando Verdasco,Borna Coric
Thomaz Bellucci,Novak Djokovic
Benoit Paire,Gilles Simon
Roberto Bautista Agut,Jo Wilfried Tsonga
Edouard Roger Vasselin,Tomas Berdych
Bernard Tomic,Stanislas Wawrinka
Feliciano Lopez,Viktor Troicki
Dominic Thiem,Kevin Anderson
Lukas Rosol,Rafael Nadal
Alexandr Dolgopolov,David Ferrer
Marin Cilic,Grigor Dimitrov
Aljaz Bedene,John Isner
Andreas Seppi,Roger Federer
Jeremy Chardy,Kei Nishikori
Leonardo Mayer,Richard Gasquet
Dusan Lajovic,David Goffin
Borna Coric,Andy Murray
Gilles Simon,Novak Djokovic
Jo Wilfried Tsonga,Tomas Berdych
Viktor Troicki,Stanislas Wawrinka
Kevin Anderson,Rafael Nadal
Grigor Dimitrov,David Ferrer
Roger Federer,John Isner
Kei Nishikori,Richard Gasquet
David Goffin,Andy Murray
Tomas Berdych,Novak Djokovic
Rafael Nadal,Stanislas Wawrinka
John Isner,David Ferrer
Richard Gasquet,Andy Murray
Stanislas Wawrinka,Novak Djokovic
David Ferrer,Andy Murray
Andy Murray,Novak Djokovic
Pablo Carreno Busta,Teymuraz Gabashvili
Kenny De Schepper,Joao Sousa
Jan Lennard Struff,Roberto Carballes Baena
Yuichi Sugita,Thomaz Bellucci
Dominic Thiem,Victor Estrella
Alejandro Gonzalez,Juan Monaco
Joao Souza,Mikhail Kukushkin
Marinko Matosevic,Marcel Granollers
Jaume Munar,Benoit Paire
Marton Fucsovics,Andrey Kuznetsov
Thiemo De Bakker,Elias Ymer
Ricardas Berankis,Albert Montanes
James Ward,Marsel Ilhan
Albert Ramos,Pablo Andujar
Fernando Verdasco,Andrey Rublev
Paolo Lorenzi,Nicolas Almagro
Teymuraz Gabashvili,Kei Nishikori
Joao Sousa,Santiago Giraldo
Roberto Carballes Baena,Pablo Cuevas
Thomaz Bellucci,Roberto Bautista Agut
Marin Cilic,Victor Estrella
Juan Monaco,Martin Klizan
Mikhail Kukushkin,Tommy Robredo
Jo Wilfried Tsonga,Marcel Granollers
Ernests Gulbis,Benoit Paire
Andrey Kuznetsov,Philipp Kohlschreiber
Nick Kyrgios,Elias Ymer
Albert Montanes,David Ferrer
Marsel Ilhan,Feliciano Lopez
Leonardo Mayer,Pablo Andujar
Andrey Rublev,Fabio Fognini
Nicolas Almagro,Rafael Nadal
Santiago Giraldo,Kei Nishikori
Pablo Cuevas,Roberto Bautista Agut
Victor Estrella,Martin Klizan
Marcel Granollers,Tommy Robredo
Benoit Paire,Philipp Kohlschreiber
Elias Ymer,David Ferrer
Feliciano Lopez,Pablo Andujar
Rafael Nadal,Fabio Fognini
Roberto Bautista Agut,Kei Nishikori
Tommy Robredo,Martin Klizan
Philipp Kohlschreiber,David Ferrer
Fabio Fognini,Pablo Andujar
Martin Klizan,Kei Nishikori
David Ferrer,Pablo Andujar
Pablo Andujar,Kei Nishikori
Marsel Ilhan,Jarkko Nieminen
Cem Ilkel,Daniel Gimeno Traver
Aleksandr Nedovyesov,Mikhail Kukushkin
Damir Dzumhur,Andrey Rublev
Steve Darcis,Jurgen Melzer
Blaz Kavcic,Diego Sebastian Schwartzman
Mikhail Youzhny,Thomaz Bellucci
Benoit Paire,Denis Istomin
Andrey Kuznetsov,Teymuraz Gabashvili
Andreas Haider Maurer,Ivan Dodig
Thanasi Kokkinakis,Dusan Lajovic
Nikoloz Basilashvili,Andrey Golubev
Jarkko Nieminen,Roger Federer
Mikhail Kukushkin,Daniel Gimeno Traver
Andrey Rublev,Santiago Giraldo
Jurgen Melzer,Diego Sebastian Schwartzman
Denis Istomin,Thomaz Bellucci
Teymuraz Gabashvili,Pablo Cuevas
Dusan Lajovic,Ivan Dodig
Andrey Golubev,Grigor Dimitrov
Daniel Gimeno Traver,Roger Federer
Santiago Giraldo,Diego Sebastian Schwartzman
Thomaz Bellucci,Pablo Cuevas
Ivan Dodig,Grigor Dimitrov
Diego Sebastian Schwartzman,Roger Federer
Grigor Dimitrov,Pablo Cuevas
Pablo Cuevas,Roger Federer
Philipp Kohlschreiber,Novak Djokovic
Lleyton Hewitt,Jarkko Nieminen
Hyeon Chung,Pierre Hugues Herbert
Jan Lennard Struff,Bernard Tomic
Thanasi Kokkinakis,Leonardo Mayer
Janko Tipsarevic,Marcel Granollers
Jerzy Janowicz,Marsel Ilhan
Lucas Pouille,Kevin Anderson
Hiroki Moriya,Marin Cilic
Andreas Haider Maurer,Ricardas Berankis
Blaz Rola,Matthew Ebden
Go Soeda,John Isner
Pablo Cuevas,Denis Kudla
Teymuraz Gabashvili,Alexander Zverev
Joao Souza,Santiago Giraldo
Simone Bolelli,Kei Nishikori
Joao Sousa,Stanislas Wawrinka
Benjamin Becker,Victor Estrella
Martin Klizan,Fernando Verdasco
Dudi Sela,Dominic Thiem
Tommy Robredo,John Millman
Donald Young,Marcos Baghdatis
Marinko Matosevic,Liam Broady
Horacio Zeballos,David Goffin
Federico Delbonis,Grigor Dimitrov
Lukas Lacko,Steve Johnson
John Patrick Smith,Kenny De Schepper
Luke Saville,Richard Gasquet
Diego Sebastian Schwartzman,Nick Kyrgios
Florian Mayer,Juan Monaco
Dusan Lajovic,Tommy Haas
Daniel Gimeno Traver,Milos Raonic
Luca Vanni,James Ward
Paolo Lorenzi,Jiri Vesely
Vincent Millot,Vasek Pospisil
Tim Smyczek,Fabio Fognini
Aleksandr Nedovyesov,Viktor Troicki
Radek Stepanek,Aljaz Bedene
Yen Hsun Lu,Dustin Brown
